code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
"14112","14112",5,الرمز البريدي,ZRBT21,ara,true,superadmin,now()
"14113","14113",5,الرمز البريدي,ZRBT22,ara,true,superadmin,now()
"14114","14114",5,الرمز البريدي,ZRBT23,ara,true,superadmin,now()
"17000","17000",5,الرمز البريدي,ZKNT,ara,true,superadmin,now()
"17001","17001",5,الرمز البريدي,ZKNT1,ara,true,superadmin,now()
"17002","17002",5,الرمز البريدي,ZKNT2,ara,true,superadmin,now()
"17003","17003",5,الرمز البريدي,ZKNT3,ara,true,superadmin,now()
"17004","17004",5,الرمز البريدي,ZKNT4,ara,true,superadmin,now()
"17005","17005",5,الرمز البريدي,ZKNT5,ara,true,superadmin,now()
"17006","17006",5,الرمز البريدي,ZKNT6,ara,true,superadmin,now()
"17007","17007",5,الرمز البريدي,ZKNT7,ara,true,superadmin,now()
"17008","17008",5,الرمز البريدي,ZKNT6,ara,true,superadmin,now()
"17009","17009",5,الرمز البريدي,ZKNT7,ara,true,superadmin,now()
"17010","17010",5,الرمز البريدي,ZKNT6,ara,true,superadmin,now()
"17011","17011",5,الرمز البريدي,ZKNT7,ara,true,superadmin,now()
"17012","17012",5,الرمز البريدي,ZKNT8,ara,true,superadmin,now()
"17013","17013",5,الرمز البريدي,ZKNT9,ara,true,superadmin,now()
"17014","17014",5,الرمز البريدي,ZKNT10,ara,true,superadmin,now()
"17015","17015",5,الرمز البريدي,ZKNT11,ara,true,superadmin,now()
"17016","17016",5,الرمز البريدي,ZKNT8,ara,true,superadmin,now()
"17017","17017",5,الرمز البريدي,ZKNT9,ara,true,superadmin,now()
"17018","17018",5,الرمز البريدي,ZKNT10,ara,true,superadmin,now()
"17019","17019",5,الرمز البريدي,ZKNT11,ara,true,superadmin,now()
"17020","17020",5,الرمز البريدي,ZKNT8,ara,true,superadmin,now()
"17021","17021",5,الرمز البريدي,ZKNT9,ara,true,superadmin,now()
"17022","17022",5,الرمز البريدي,ZKNT10,ara,true,superadmin,now()
"17023","17023",5,الرمز البريدي,ZKNT11,ara,true,superadmin,now()
"17024","17024",5,الرمز البريدي,ZKNT12,ara,true,superadmin,now()
"17025","17025",5,الرمز البريدي,ZKNT13,ara,true,superadmin,now()
"17026","17026",5,الرمز البريدي,ZKNT13,ara,true,superadmin,now()
"17028","17028",5,الرمز البريدي,ZKNT12,ara,true,superadmin,now()
"17029","17029",5,الرمز البريدي,ZKNT13,ara,true,superadmin,now()
"17030","17030",5,الرمز البريدي,ZKNT14,ara,true,superadmin,now()
"17031","17031",5,الرمز البريدي,ZKNT15,ara,true,superadmin,now()
"17032","17032",5,الرمز البريدي,ZKNT16,ara,true,superadmin,now()
"17033","17033",5,الرمز البريدي,ZKNT17,ara,true,superadmin,now()
"17034","17034",5,الرمز البريدي,ZKNT14,ara,true,superadmin,now()
"17035","17035",5,الرمز البريدي,ZKNT15,ara,true,superadmin,now()
"17036","17036",5,الرمز البريدي,ZKNT16,ara,true,superadmin,now()
"17037","17037",5,الرمز البريدي,ZKNT17,ara,true,superadmin,now()
"17038","17038",5,الرمز البريدي,ZKNT14,ara,true,superadmin,now()
"17039","17039",5,الرمز البريدي,ZKNT15,ara,true,superadmin,now()
"17040","17040",5,الرمز البريدي,ZKNT16,ara,true,superadmin,now()
"17041","17041",5,الرمز البريدي,ZKNT17,ara,true,superadmin,now()
"17012","17012",5,Postal Code,ZKNT8,eng,true,superadmin,now()
"17013","17013",5,Postal Code,ZKNT9,eng,true,superadmin,now()
"17014","17014",5,Postal Code,ZKNT10,eng,true,superadmin,now()
"17015","17015",5,Postal Code,ZKNT11,eng,true,superadmin,now()
"17016","17016",5,Postal Code,ZKNT8,eng,true,superadmin,now()
